,Pclass,Age,SibSp,Parch,Fare,Cabin,Embarked
540,1,36.0,0,2,71.0,16,2
394,3,24.0,0,2,16.7,131,2
572,1,36.0,0,0,26.3875,109,2
456,1,65.0,0,0,26.55,114,2
251,3,29.0,1,1,10.4625,131,2
591,1,52.0,1,0,78.2667,86,0
291,1,19.0,1,0,91.0792,26,0
772,2,57.0,0,0,10.5,124,2
299,1,50.0,0,1,247.5208,31,0
139,1,24.0,0,0,79.2,39,0
273,1,37.0,0,1,29.7,47,0
118,1,24.0,0,1,247.5208,31,0
174,1,56.0,0,0,30.6958,11,0
809,1,33.0,1,0,53.1,125,2
698,1,49.0,1,1,110.8833,66,0
516,2,34.0,0,0,10.5,129,2
245,1,44.0,2,0,90.0,69,1
268,1,58.0,0,1,153.4625,50,2
6,1,54.0,0,0,51.8625,117,2
275,1,63.0,1,0,77.9583,101,2
332,1,38.0,0,1,153.4625,76,2
434,1,50.0,1,0,55.9,116,2
194,1,44.0,0,0,27.7208,23,0
11,1,58.0,0,0,26.55,43,2
195,1,58.0,0,0,146.5208,37,0
587,1,60.0,1,1,79.2,24,0
820,1,52.0,1,1,93.5,32,2
659,1,58.0,0,2,113.275,96,0
224,1,38.0,1,0,90.0,78,2
124,1,54.0,0,1,77.2875,87,2
759,1,33.0,0,0,86.5,35,2
209,1,40.0,0,0,31.0,6,0
671,1,31.0,1,0,52.0,33,2
745,1,70.0,1,1,71.0,16,2
54,1,65.0,0,1,61.9792,18,0
862,1,48.0,0,0,25.9292,84,2
585,1,18.0,0,2,79.65,123,2
110,1,47.0,0,0,52.0,45,2
699,3,42.0,0,0,7.65,126,2
558,1,39.0,1,1,79.65,122,2
445,1,4.0,0,2,81.8583,7,2
248,1,37.0,1,1,52.5542,91,2
183,2,1.0,2,1,39.0,130,2
297,1,2.0,1,2,151.55,54,2
641,1,24.0,0,0,69.3,19,0
539,1,22.0,0,2,49.5,22,0
305,1,0.92,1,2,151.55,54,2
782,1,29.0,0,0,30.0,100,2
151,1,22.0,1,0,66.6,53,2
583,1,36.0,0,0,40.125,0,0
710,1,24.0,0,0,49.5042,75,0
27,1,19.0,3,2,263.0,55,2
311,1,18.0,2,2,262.375,30,0
505,1,18.0,1,0,108.9,65,0
577,1,39.0,1,0,55.9,116,2
806,1,39.0,0,0,0.0,8,2
10,3,4.0,1,1,16.7,131,2
716,1,38.0,0,0,227.525,58,0
609,1,40.0,0,0,153.4625,50,2
262,1,52.0,1,1,79.65,122,2
715,3,19.0,0,0,7.65,127,2
449,1,52.0,0,0,30.5,44,2
512,1,36.0,0,0,26.2875,109,2
102,1,21.0,0,1,77.2875,87,2
857,1,51.0,0,0,26.55,107,2
763,1,36.0,1,2,120.0,41,2
62,1,45.0,1,0,83.475,71,2
345,2,24.0,0,0,13.0,129,2
599,1,49.0,1,0,56.9292,2,0
625,1,61.0,0,0,32.3208,98,2
887,1,19.0,0,0,30.0,25,2
123,2,32.5,0,0,13.0,104,2
1,1,38.0,1,0,71.2833,72,0
871,1,47.0,1,1,52.5542,91,2
170,1,61.0,0,0,33.5,14,2
339,1,45.0,0,0,35.5,132,2
369,1,24.0,0,0,69.3,19,0
21,2,34.0,0,0,13.0,99,2
487,1,58.0,0,0,29.7,20,0
23,1,28.0,0,0,35.5,10,2
690,1,31.0,1,0,57.0,15,2
263,1,40.0,0,0,0.0,40,2
340,2,2.0,1,1,26.0,128,2
393,1,23.0,1,0,113.275,92,0
430,1,28.0,0,0,26.55,62,2
52,1,49.0,1,0,76.7292,90,0
205,3,2.0,0,1,10.4625,131,2
823,3,27.0,0,1,12.475,106,2
92,1,46.0,1,0,61.175,110,2
